,from,to,intensity.max,intensity.average,intensity.min,intensity.index
122,2024-01-02T20:33Z,2024-01-03T20:33Z,176,125,63,moderate
123,2024-01-04T20:33Z,2024-01-05T20:33Z,201,172,124,moderate
124,2024-01-05T20:33Z,2024-01-06T20:33Z,213,172,114,moderate
125,2024-01-06T20:33Z,2024-01-07T20:33Z,239,192,142,high
126,2024-01-07T20:33Z,2024-01-08T20:33Z,258,220,162,high
127,2024-01-08T20:33Z,2024-01-09T20:33Z,243,204,164,high
128,2024-01-09T20:33Z,2024-01-10T20:33Z,270,243,201,high
129,2024-01-10T20:33Z,2024-01-11T20:33Z,283,260,241,high
130,2024-01-11T20:33Z,2024-01-12T20:33Z,295,279,260,very high
131,2024-01-12T20:33Z,2024-01-13T20:33Z,285,227,187,high
132,2024-01-13T20:33Z,2024-01-14T20:33Z,248,192,167,high
133,2024-01-14T20:33Z,2024-01-15T20:33Z,262,175,76,moderate
134,2024-01-15T20:33Z,2024-01-16T20:33Z,285,259,227,high
135,2024-01-16T20:33Z,2024-01-17T20:33Z,288,253,200,high
136,2024-01-17T20:33Z,2024-01-18T20:33Z,268,239,209,high
137,2024-01-18T20:33Z,2024-01-19T20:33Z,242,202,174,high
138,2024-01-19T20:33Z,2024-01-20T20:33Z,177,126,95,moderate
139,2024-01-20T20:33Z,2024-01-21T20:33Z,127,79,56,low
140,2024-01-21T20:33Z,2024-01-22T20:33Z,132,99,69,low
141,2024-01-22T20:33Z,2024-01-23T20:33Z,140,98,58,low
142,2024-01-23T20:33Z,2024-01-24T20:33Z,163,97,63,low
143,2024-01-24T20:33Z,2024-01-25T20:33Z,181,148,120,moderate
144,2024-01-25T20:33Z,2024-01-26T20:33Z,135,78,44,low
145,2024-01-26T20:33Z,2024-01-27T20:33Z,130,100,66,low
146,2024-01-27T20:33Z,2024-01-28T20:33Z,122,79,50,low
147,2024-01-28T20:33Z,2024-01-29T20:33Z,253,179,66,moderate
148,2024-01-29T20:33Z,2024-01-30T20:33Z,254,178,100,moderate
149,2024-01-30T20:33Z,2024-01-31T20:33Z,250,142,81,moderate
150,2024-01-31T20:33Z,2024-02-01T20:33Z,87,77,73,low
