,from,to,intensity.max,intensity.average,intensity.min,intensity.index
124,2024-01-01T00:00Z,2024-01-02T00:00Z,116,72,41,low
125,2024-01-02T00:00Z,2024-01-03T00:00Z,154,104,53,low
126,2024-01-03T00:00Z,2024-01-04T00:00Z,176,132,63,moderate
127,2024-01-04T00:00Z,2024-01-05T00:00Z,240,180,88,moderate
128,2024-01-05T00:00Z,2024-01-06T00:00Z,201,170,123,moderate
129,2024-01-06T00:00Z,2024-01-07T00:00Z,213,176,114,moderate
130,2024-01-07T00:00Z,2024-01-08T00:00Z,239,196,142,high
131,2024-01-08T00:00Z,2024-01-09T00:00Z,258,216,162,high
132,2024-01-09T00:00Z,2024-01-10T00:00Z,243,209,164,high
133,2024-01-10T00:00Z,2024-01-11T00:00Z,270,247,217,high
134,2024-01-11T00:00Z,2024-01-12T00:00Z,284,264,243,high
135,2024-01-12T00:00Z,2024-01-13T00:00Z,295,276,223,very high
136,2024-01-13T00:00Z,2024-01-14T00:00Z,255,222,185,high
137,2024-01-14T00:00Z,2024-01-15T00:00Z,200,177,99,moderate
138,2024-01-15T00:00Z,2024-01-16T00:00Z,265,196,76,high
139,2024-01-16T00:00Z,2024-01-17T00:00Z,285,253,200,high
140,2024-01-17T00:00Z,2024-01-18T00:00Z,288,258,218,high
141,2024-01-18T00:00Z,2024-01-19T00:00Z,268,232,179,high
142,2024-01-19T00:00Z,2024-01-20T00:00Z,242,194,109,high
143,2024-01-20T00:00Z,2024-01-21T00:00Z,150,117,60,moderate
144,2024-01-21T00:00Z,2024-01-22T00:00Z,128,84,56,low
145,2024-01-22T00:00Z,2024-01-23T00:00Z,132,91,58,low
146,2024-01-23T00:00Z,2024-01-24T00:00Z,140,99,58,low
147,2024-01-24T00:00Z,2024-01-25T00:00Z,163,106,63,low
148,2024-01-25T00:00Z,2024-01-26T00:00Z,181,141,62,moderate
149,2024-01-26T00:00Z,2024-01-27T00:00Z,135,81,44,low
150,2024-01-27T00:00Z,2024-01-28T00:00Z,130,100,66,low
151,2024-01-28T00:00Z,2024-01-29T00:00Z,94,75,50,low
